2/10/2017 4:26:55 PM:349,0,0,0,0,0,0,RightController
2/10/2017 4:26:55 PM:398,-0.522892,0.6863849,-0.4937245,58.26172,84.52143,0.4199505,RightController
2/10/2017 4:26:55 PM:460,-0.5267394,0.6849482,-0.4903301,58.90827,80.4746,358.2961,RightController
2/10/2017 4:26:55 PM:518,-0.5269606,0.6859946,-0.4889367,57.82096,78.04622,357.2101,RightController
2/10/2017 4:26:55 PM:567,-0.5270586,0.6863191,-0.4890642,57.04802,76.96728,357.0522,RightController
2/10/2017 4:26:55 PM:631,-0.5285673,0.6851606,-0.4905791,56.97953,77.00468,357.6136,RightController
2/10/2017 4:26:55 PM:697,-0.5312874,0.6826892,-0.4931061,58.33132,77.59342,357.9189,RightController
2/10/2017 4:26:55 PM:750,-0.5306377,0.682757,-0.4927698,58.12654,77.80997,358.0133,RightController
2/10/2017 4:26:55 PM:795,-0.5297015,0.6828659,-0.492256,57.86008,77.95473,357.9348,RightController
2/10/2017 4:26:55 PM:861,-0.5270782,0.683805,-0.4918481,57.42788,78.76316,357.8566,RightController
2/10/2017 4:26:55 PM:901,-0.5262623,0.6841315,-0.4913735,57.30718,79.02674,358.089,RightController
2/10/2017 4:26:55 PM:963,-0.5256002,0.6838756,-0.4894907,57.63705,78.50629,357.2726,RightController
2/10/2017 4:26:56 PM:31,-0.5252745,0.6837136,-0.4880557,57.30618,77.47388,356.6721,RightController
2/10/2017 4:26:56 PM:76,-0.5254645,0.6839722,-0.4868031,57.18061,77.28061,356.2625,RightController
2/10/2017 4:26:56 PM:134,-0.5277581,0.6838386,-0.4861319,57.50943,76.3389,355.0654,RightController
2/10/2017 4:26:56 PM:198,-0.5299487,0.683182,-0.4876436,58.3535,75.49396,354.7456,RightController
2/10/2017 4:26:56 PM:248,-0.5302551,0.6829159,-0.4894682,58.58826,76.11954,355.2244,RightController
2/10/2017 4:26:56 PM:310,-0.5294514,0.6834527,-0.4937565,58.28026,78.25444,356.7176,RightController
2/10/2017 4:26:56 PM:365,-0.5291648,0.6839123,-0.4950655,58.11164,79.1117,357.1848,RightController
2/10/2017 4:26:56 PM:402,-0.529074,0.6842666,-0.4955515,57.9026,79.26241,357.1787,RightController
2/10/2017 4:26:56 PM:466,-0.5307419,0.684067,-0.4948244,57.97527,79.15789,356.9817,RightController
2/10/2017 4:26:56 PM:521,-0.5322504,0.6837252,-0.4944112,58.08477,79.10463,356.9019,RightController
2/10/2017 4:26:56 PM:559,-0.5331595,0.683249,-0.4937366,58.18517,78.83467,356.701,RightController
2/10/2017 4:26:56 PM:600,-0.5342169,0.6832722,-0.492726,58.15573,78.75805,356.5644,RightController
2/10/2017 4:26:56 PM:645,-0.5351648,0.6841269,-0.4924899,58.15162,78.85725,355.9769,RightController
2/10/2017 4:26:56 PM:700,-0.5327563,0.6865548,-0.4952856,57.23015,81.62729,353.6505,RightController
2/10/2017 4:26:56 PM:769,-0.5254898,0.6882633,-0.5074619,56.15759,91.91278,347.5467,RightController
2/10/2017 4:26:56 PM:818,-0.5219176,0.6889852,-0.5128496,55.04689,94.03236,344.9612,RightController
2/10/2017 4:26:56 PM:861,-0.5193453,0.689344,-0.5244671,54.72638,101.3352,342.2465,RightController
2/10/2017 4:26:56 PM:925,-0.5194204,0.6896648,-0.5417244,54.03767,109.5459,345.9513,RightController
