3/28/2017 4:13:04 PM:928,0,0,0,0,0,0,LeftController
3/28/2017 4:13:04 PM:999,1.474092,0.6455078,-1.099518,24.10616,197.7926,310.792,LeftController
3/28/2017 4:13:05 PM:57,1.47404,0.6454647,-1.099315,24.08923,197.8002,310.7825,LeftController
3/28/2017 4:13:05 PM:119,1.474293,0.6447113,-1.098744,24.10811,197.8081,310.7906,LeftController
3/28/2017 4:13:05 PM:166,1.474174,0.6455119,-1.099641,24.11004,197.8113,310.7972,LeftController
3/28/2017 4:13:05 PM:225,1.474156,0.6455358,-1.099729,24.13185,197.8079,310.7917,LeftController
3/28/2017 4:13:05 PM:286,1.474535,0.6448421,-1.098888,24.09252,197.8124,310.7977,LeftController
3/28/2017 4:13:05 PM:331,1.473967,0.6457344,-1.099465,24.10175,197.8057,310.7829,LeftController
3/28/2017 4:13:05 PM:393,1.473972,0.6457824,-1.099562,24.11036,197.8013,310.7827,LeftController
3/28/2017 4:13:05 PM:453,1.474329,0.6449622,-1.098968,24.09817,197.8057,310.7876,LeftController
3/28/2017 4:13:05 PM:497,1.474064,0.645623,-1.099526,24.10236,197.8158,310.7939,LeftController
3/28/2017 4:13:05 PM:542,1.474045,0.6455971,-1.099487,24.10518,197.8201,310.8032,LeftController
3/28/2017 4:13:05 PM:597,1.474364,0.6448114,-1.099006,24.10334,197.8293,310.8047,LeftController
3/28/2017 4:13:05 PM:639,1.474325,0.6448846,-1.09914,24.09215,197.8226,310.7997,LeftController
3/28/2017 4:13:05 PM:695,1.473901,0.6456552,-1.09944,24.0966,197.8201,310.792,LeftController
3/28/2017 4:13:05 PM:740,1.473922,0.6457036,-1.099188,24.0809,197.825,310.7816,LeftController
3/28/2017 4:13:05 PM:803,1.47404,0.6457067,-1.099381,24.10074,197.8235,310.7859,LeftController
3/28/2017 4:13:05 PM:867,1.473939,0.6457884,-1.099553,24.10931,197.8341,310.8086,LeftController
3/28/2017 4:13:05 PM:929,1.473949,0.6457509,-1.099748,24.11031,197.8308,310.8098,LeftController
3/28/2017 4:13:05 PM:978,1.47369,0.6457586,-1.099921,24.14754,197.8214,310.7974,LeftController
3/28/2017 4:13:06 PM:34,1.47377,0.6456615,-1.099943,24.12465,197.8088,310.8147,LeftController
3/28/2017 4:13:06 PM:96,1.473939,0.6455895,-1.099351,24.09942,197.8219,310.8147,LeftController
