12/7/2016 11:41:19 AM:12,-1.798251,0.8196595,-1.079982,345.7466,283.1187,19.01304,LeftController
12/7/2016 11:41:19 AM:49,-1.798119,0.8192872,-1.080041,345.7424,283.1172,19.01528,LeftController
12/7/2016 11:41:19 AM:78,-1.798265,0.8196805,-1.079879,345.7469,283.1234,19.01065,LeftController
12/7/2016 11:41:19 AM:109,-1.798021,0.8192115,-1.080067,345.7321,283.1147,19.01738,LeftController
12/7/2016 11:41:19 AM:143,-1.798074,0.8195181,-1.080023,345.7411,283.1156,19.01828,LeftController
12/7/2016 11:41:19 AM:176,-1.798195,0.819612,-1.079893,345.744,283.1148,19.01279,LeftController
12/7/2016 11:41:19 AM:210,-1.798229,0.8196419,-1.079872,345.7555,283.1098,19.02184,LeftController
12/7/2016 11:41:19 AM:244,-1.7982,0.8195801,-1.079945,345.7457,283.1059,19.02516,LeftController
12/7/2016 11:41:19 AM:276,-1.7982,0.8195647,-1.080028,345.7459,283.1016,19.03775,LeftController
12/7/2016 11:41:19 AM:311,-1.7982,0.8196847,-1.079932,345.7372,283.105,19.02684,LeftController
